Sample: Sample_ID_submitter,File: Raw_or_Processed,File: File_format,File: contents,File: File_name,File: Genome_build,File: Number of cases and controls,File: Processed_date,Processing_steps:Pipeline_info,Processing_steps:Annotation_info,Processing_steps:Normalization_info,Processing_steps: Genotype level QC (xQTL),Processing_steps: Genotype level imputation (xQTL),Processing_steps: Genotype level QC (WGS/WES),File: md5sum,File: Transferred_date,File: File_size
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 11,MiGA.GFM.chr11.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 12,MiGA.GFM.chr12.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 13,MiGA.GFM.chr13.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 14,MiGA.GFM.chr14.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 15,MiGA.GFM.chr15.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 16,MiGA.GFM.chr16.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 17,MiGA.GFM.chr17.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 18,MiGA.GFM.chr18.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 19,MiGA.GFM.chr19.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 20,MiGA.GFM.chr20.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
"13-080, 14-005, 14-015, 14-029, 14-046, 14-069, 14-075, 14-078, 15-018, 15-024, 15-027, 15-034, 15-055, 15-075, 15-087, 15-089, 15-093, 15-107, 16-003, 16-024, 16-027, 16-038, 16-046, 16-049, 16-056, 16-062, 16-065, 16-067, 16-078, 16-080, 16-102, 16-110, 16-111, 16-112, 16-116, 16-117, 16-118, 16-137, 17-003, 17-005, 17-009, 17-012, 17-013, 17-015, 17-016, 17-017, 17-029, 17-043, 17-074, 17-078, 17-092, 17-094, 17-097, 17-099, 17-102, 17-121, 17-124, 17-128, 17-136, 18-010, 18-018, 18-021, 18-023, 18-039, 18-063, 18-064, 18-074, 18-079, 18-105, 18-112, MG-06, MG-07, MG-08, MG-09, MG-10, MG-11, MG-13",Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 21,MiGA.GFM.chr21.norminal.cis_long_table.txt,hg38,43 cases / 34 controls,10-02-2022,FGC xQTL pipeline,dbSNP v150,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 4, MAF for PCA: 0.01, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",TopMed Imputation,NA,NR,NR,NR
